fix_name,latitude,longitude
4019N,40.0,-19.0
4020N,40.0,-20.0
4021N,40.0,-21.0
4022N,40.0,-22.0
4023N,40.0,-23.0
4024N,40.0,-24.0
4025N,40.0,-25.0
4026N,40.0,-26.0
4027N,40.0,-27.0
4028N,40.0,-28.0
4029N,40.0,-29.0
4030N,40.0,-30.0
4031N,40.0,-31.0
4032N,40.0,-32.0
4033N,40.0,-33.0
4034N,40.0,-34.0
4035N,40.0,-35.0
4036N,40.0,-36.0
4037N,40.0,-37.0
4038N,40.0,-38.0
4039N,40.0,-39.0
4040N,40.0,-40.0
4041N,40.0,-41.0
4042N,40.0,-42.0
4043N,40.0,-43.0
4044N,40.0,-44.0
4045N,40.0,-45.0
4046N,40.0,-46.0
4047N,40.0,-47.0
4048N,40.0,-48.0
4049N,40.0,-49.0
4050N,40.0,-50.0
4051N,40.0,-51.0
4052N,40.0,-52.0
4053N,40.0,-53.0
4054N,40.0,-54.0
4055N,40.0,-55.0
4056N,40.0,-56.0
4057N,40.0,-57.0
4058N,40.0,-58.0
4059N,40.0,-59.0
4060N,40.0,-60.0
4061N,40.0,-61.0
4062N,40.0,-62.0
4063N,40.0,-63.0
4064N,40.0,-64.0
4065N,40.0,-65.0
4066N,40.0,-66.0
4067N,40.0,-67.0
4068N,40.0,-68.0
4069N,40.0,-69.0
4070N,40.0,-70.0
4071N,40.0,-71.0
4072N,40.0,-72.0
4073N,40.0,-73.0
4074N,40.0,-74.0
4075N,40.0,-75.0
4076N,40.0,-76.0
4077N,40.0,-77.0
4078N,40.0,-78.0
4079N,40.0,-79.0
4080N,40.0,-80.0
40DME,55.913608,-4.355525
40LO2,51.464367,-0.588925
40LO3,51.465228,-0.327536
40LOC,57.494042,-4.15265
40TA2,53.078244,-0.277442
40TAC,53.113761,-0.064983
40TH2,40.420825,-3.482719
40THR,65.880361,-17.46215
40VOR,63.916928,-22.596742
4100E,41.0,0.0
4100N,41.0,0.0
4101N,41.0,-1.0
4102N,41.0,-2.0
4103N,41.0,-3.0
4104N,41.0,-4.0
4105N,41.0,-5.0
4106N,41.0,-6.0
4107N,41.0,-7.0
4108N,41.0,-8.0
4109N,41.0,-9.0
4110N,41.0,-10.0
4111N,41.0,-11.0
4112N,41.0,-12.0
4113N,41.0,-13.0
4114N,41.0,-14.0
4115N,41.0,-15.0
4116N,41.0,-16.0
4117N,41.0,-17.0
4118N,41.0,-18.0
4119N,41.0,-19.0
4120N,41.0,-20.0
4121N,41.0,-21.0
4122N,41.0,-22.0
4123N,41.0,-23.0
4124N,41.0,-24.0
4125N,41.0,-25.0
4126N,41.0,-26.0
4127N,41.0,-27.0
4128N,41.0,-28.0
4129N,41.0,-29.0
4130N,41.0,-30.0
4131N,41.0,-31.0
4132N,41.0,-32.0
4133N,41.0,-33.0
4134N,41.0,-34.0
4135N,41.0,-35.0
4136N,41.0,-36.0
4137N,41.0,-37.0
4138N,41.0,-38.0
4139N,41.0,-39.0
4140N,41.0,-40.0
4141N,41.0,-41.0
4142N,41.0,-42.0
4143N,41.0,-43.0
4144N,41.0,-44.0
4145N,41.0,-45.0
4146N,41.0,-46.0
4147N,41.0,-47.0
4148N,41.0,-48.0
4149N,41.0,-49.0
4150N,41.0,-50.0
4151N,41.0,-51.0
4152N,41.0,-52.0
4153N,41.0,-53.0
4154N,41.0,-54.0
4155N,41.0,-55.0
4156N,41.0,-56.0
4157N,41.0,-57.0
4158N,41.0,-58.0
4159N,41.0,-59.0
4160N,41.0,-60.0
4161N,41.0,-61.0
4162N,41.0,-62.0
4163N,41.0,-63.0
4164N,41.0,-64.0
4165N,41.0,-65.0
4166N,41.0,-66.0
4167N,41.0,-67.0
4168N,41.0,-68.0
4169N,41.0,-69.0
4170N,41.0,-70.0
4171N,41.0,-71.0
4172N,41.0,-72.0
4173N,41.0,-73.0
4174N,41.0,-74.0
4175N,41.0,-75.0
4176N,41.0,-76.0
4177N,41.0,-77.0
4178N,41.0,-78.0
4179N,41.0,-79.0
4180N,41.0,-80.0
41LOC,47.783006,-3.338469
41NM,42.920361,-1.75615
41VOR,36.724517,-4.569833
4200E,42.0,0.0
4200N,42.0,0.0
4201N,42.0,-1.0
4202N,42.0,-2.0
4203N,42.0,-3.0
4204N,42.0,-4.0
4205N,42.0,-5.0
4206N,42.0,-6.0
4207N,42.0,-7.0
4208N,42.0,-8.0
4209N,42.0,-9.0
4210N,42.0,-10.0
4211N,42.0,-11.0
4212N,42.0,-12.0
4213N,42.0,-13.0
4214N,42.0,-14.0
4215N,42.0,-15.0
4216N,42.0,-16.0
4217N,42.0,-17.0
4218N,42.0,-18.0
4219N,42.0,-19.0
4220N,42.0,-20.0
4221N,42.0,-21.0
4222N,42.0,-22.0
4223N,42.0,-23.0
4224N,42.0,-24.0
4225N,42.0,-25.0
4226N,42.0,-26.0
4227N,42.0,-27.0
4228N,42.0,-28.0
4229N,42.0,-29.0
4230N,42.0,-30.0
4231N,42.0,-31.0
4232N,42.0,-32.0
4233N,42.0,-33.0
4234N,42.0,-34.0
4235N,42.0,-35.0
4236N,42.0,-36.0
4237N,42.0,-37.0
4238N,42.0,-38.0
4239N,42.0,-39.0
4240N,42.0,-40.0
4241N,42.0,-41.0
4242N,42.0,-42.0
4243N,42.0,-43.0
